filename,split,granule_name,track,cycle,pol
synthetic_l0_0262.h5,train,synthetic_l0_0262.h5,,,
synthetic_l0_0139.h5,train,synthetic_l0_0139.h5,,,
synthetic_l0_0132.h5,train,synthetic_l0_0132.h5,,,
synthetic_l0_0434.h5,train,synthetic_l0_0434.h5,,,
synthetic_l0_0120.h5,train,synthetic_l0_0120.h5,,,
synthetic_l0_0390.h5,train,synthetic_l0_0390.h5,,,
synthetic_l0_0167.h5,train,synthetic_l0_0167.h5,,,
synthetic_l0_0472.h5,train,synthetic_l0_0472.h5,,,
synthetic_l0_0229.h5,train,synthetic_l0_0229.h5,,,
synthetic_l0_0044.h5,train,synthetic_l0_0044.h5,,,
synthetic_l0_0296.h5,train,synthetic_l0_0296.h5,,,
synthetic_l0_0272.h5,train,synthetic_l0_0272.h5,,,
synthetic_l0_0263.h5,train,synthetic_l0_0263.h5,,,
synthetic_l0_0077.h5,train,synthetic_l0_0077.h5,,,
synthetic_l0_0079.h5,train,synthetic_l0_0079.h5,,,
synthetic_l0_0364.h5,train,synthetic_l0_0364.h5,,,
synthetic_l0_0433.h5,train,synthetic_l0_0433.h5,,,
synthetic_l0_0470.h5,train,synthetic_l0_0470.h5,,,
synthetic_l0_0238.h5,train,synthetic_l0_0238.h5,,,
synthetic_l0_0025.h5,train,synthetic_l0_0025.h5,,,
synthetic_l0_0186.h5,train,synthetic_l0_0186.h5,,,
synthetic_l0_0001.h5,train,synthetic_l0_0001.h5,,,
synthetic_l0_0412.h5,train,synthetic_l0_0412.h5,,,
synthetic_l0_0233.h5,train,synthetic_l0_0233.h5,,,
synthetic_l0_0446.h5,train,synthetic_l0_0446.h5,,,
synthetic_l0_0146.h5,train,synthetic_l0_0146.h5,,,
synthetic_l0_0058.h5,train,synthetic_l0_0058.h5,,,
synthetic_l0_0072.h5,train,synthetic_l0_0072.h5,,,
synthetic_l0_0177.h5,train,synthetic_l0_0177.h5,,,
synthetic_l0_0381.h5,train,synthetic_l0_0381.h5,,,
synthetic_l0_0396.h5,train,synthetic_l0_0396.h5,,,
synthetic_l0_0423.h5,train,synthetic_l0_0423.h5,,,
synthetic_l0_0479.h5,train,synthetic_l0_0479.h5,,,
synthetic_l0_0483.h5,train,synthetic_l0_0483.h5,,,
synthetic_l0_0414.h5,train,synthetic_l0_0414.h5,,,
synthetic_l0_0351.h5,train,synthetic_l0_0351.h5,,,
synthetic_l0_0498.h5,train,synthetic_l0_0498.h5,,,
synthetic_l0_0361.h5,train,synthetic_l0_0361.h5,,,
synthetic_l0_0313.h5,train,synthetic_l0_0313.h5,,,
synthetic_l0_0145.h5,train,synthetic_l0_0145.h5,,,
synthetic_l0_0141.h5,train,synthetic_l0_0141.h5,,,
synthetic_l0_0050.h5,train,synthetic_l0_0050.h5,,,
synthetic_l0_0447.h5,train,synthetic_l0_0447.h5,,,
synthetic_l0_0153.h5,train,synthetic_l0_0153.h5,,,
synthetic_l0_0368.h5,train,synthetic_l0_0368.h5,,,
synthetic_l0_0410.h5,train,synthetic_l0_0410.h5,,,
synthetic_l0_0343.h5,train,synthetic_l0_0343.h5,,,
synthetic_l0_0324.h5,train,synthetic_l0_0324.h5,,,
synthetic_l0_0291.h5,train,synthetic_l0_0291.h5,,,
synthetic_l0_0247.h5,train,synthetic_l0_0247.h5,,,
synthetic_l0_0268.h5,train,synthetic_l0_0268.h5,,,
synthetic_l0_0250.h5,train,synthetic_l0_0250.h5,,,
synthetic_l0_0339.h5,train,synthetic_l0_0339.h5,,,
synthetic_l0_0348.h5,train,synthetic_l0_0348.h5,,,
synthetic_l0_0283.h5,train,synthetic_l0_0283.h5,,,
synthetic_l0_0157.h5,train,synthetic_l0_0157.h5,,,
synthetic_l0_0101.h5,train,synthetic_l0_0101.h5,,,
synthetic_l0_0252.h5,train,synthetic_l0_0252.h5,,,
synthetic_l0_0179.h5,train,synthetic_l0_0179.h5,,,
synthetic_l0_0478.h5,train,synthetic_l0_0478.h5,,,
synthetic_l0_0298.h5,train,synthetic_l0_0298.h5,,,
synthetic_l0_0064.h5,train,synthetic_l0_0064.h5,,,
synthetic_l0_0286.h5,train,synthetic_l0_0286.h5,,,
synthetic_l0_0284.h5,train,synthetic_l0_0284.h5,,,
synthetic_l0_0377.h5,train,synthetic_l0_0377.h5,,,
synthetic_l0_0427.h5,train,synthetic_l0_0427.h5,,,
synthetic_l0_0152.h5,train,synthetic_l0_0152.h5,,,
synthetic_l0_0195.h5,train,synthetic_l0_0195.h5,,,
synthetic_l0_0382.h5,train,synthetic_l0_0382.h5,,,
synthetic_l0_0007.h5,train,synthetic_l0_0007.h5,,,
synthetic_l0_0474.h5,train,synthetic_l0_0474.h5,,,
synthetic_l0_0133.h5,train,synthetic_l0_0133.h5,,,
synthetic_l0_0234.h5,train,synthetic_l0_0234.h5,,,
synthetic_l0_0255.h5,train,synthetic_l0_0255.h5,,,
synthetic_l0_0249.h5,train,synthetic_l0_0249.h5,,,
synthetic_l0_0256.h5,train,synthetic_l0_0256.h5,,,
synthetic_l0_0082.h5,train,synthetic_l0_0082.h5,,,
synthetic_l0_0086.h5,train,synthetic_l0_0086.h5,,,
synthetic_l0_0175.h5,train,synthetic_l0_0175.h5,,,
synthetic_l0_0169.h5,train,synthetic_l0_0169.h5,,,
synthetic_l0_0387.h5,train,synthetic_l0_0387.h5,,,
synthetic_l0_0184.h5,train,synthetic_l0_0184.h5,,,
synthetic_l0_0416.h5,train,synthetic_l0_0416.h5,,,
synthetic_l0_0406.h5,train,synthetic_l0_0406.h5,,,
synthetic_l0_0104.h5,train,synthetic_l0_0104.h5,,,
synthetic_l0_0356.h5,train,synthetic_l0_0356.h5,,,
synthetic_l0_0148.h5,train,synthetic_l0_0148.h5,,,
synthetic_l0_0354.h5,train,synthetic_l0_0354.h5,,,
synthetic_l0_0315.h5,train,synthetic_l0_0315.h5,,,
synthetic_l0_0464.h5,train,synthetic_l0_0464.h5,,,
synthetic_l0_0301.h5,train,synthetic_l0_0301.h5,,,
synthetic_l0_0398.h5,train,synthetic_l0_0398.h5,,,
synthetic_l0_0214.h5,train,synthetic_l0_0214.h5,,,
synthetic_l0_0206.h5,train,synthetic_l0_0206.h5,,,
synthetic_l0_0426.h5,train,synthetic_l0_0426.h5,,,
synthetic_l0_0023.h5,train,synthetic_l0_0023.h5,,,
synthetic_l0_0246.h5,train,synthetic_l0_0246.h5,,,
synthetic_l0_0388.h5,train,synthetic_l0_0388.h5,,,
synthetic_l0_0405.h5,train,synthetic_l0_0405.h5,,,
synthetic_l0_0271.h5,train,synthetic_l0_0271.h5,,,
synthetic_l0_0468.h5,train,synthetic_l0_0468.h5,,,
synthetic_l0_0353.h5,train,synthetic_l0_0353.h5,,,
synthetic_l0_0068.h5,train,synthetic_l0_0068.h5,,,
synthetic_l0_0287.h5,train,synthetic_l0_0287.h5,,,
synthetic_l0_0056.h5,train,synthetic_l0_0056.h5,,,
synthetic_l0_0222.h5,train,synthetic_l0_0222.h5,,,
synthetic_l0_0018.h5,train,synthetic_l0_0018.h5,,,
synthetic_l0_0163.h5,train,synthetic_l0_0163.h5,,,
synthetic_l0_0200.h5,train,synthetic_l0_0200.h5,,,
synthetic_l0_0389.h5,train,synthetic_l0_0389.h5,,,
synthetic_l0_0199.h5,train,synthetic_l0_0199.h5,,,
synthetic_l0_0029.h5,train,synthetic_l0_0029.h5,,,
synthetic_l0_0060.h5,train,synthetic_l0_0060.h5,,,
synthetic_l0_0408.h5,train,synthetic_l0_0408.h5,,,
synthetic_l0_0073.h5,train,synthetic_l0_0073.h5,,,
synthetic_l0_0357.h5,train,synthetic_l0_0357.h5,,,
synthetic_l0_0002.h5,train,synthetic_l0_0002.h5,,,
synthetic_l0_0375.h5,train,synthetic_l0_0375.h5,,,
synthetic_l0_0460.h5,train,synthetic_l0_0460.h5,,,
synthetic_l0_0403.h5,train,synthetic_l0_0403.h5,,,
synthetic_l0_0418.h5,train,synthetic_l0_0418.h5,,,
synthetic_l0_0261.h5,train,synthetic_l0_0261.h5,,,
synthetic_l0_0310.h5,train,synthetic_l0_0310.h5,,,
synthetic_l0_0340.h5,train,synthetic_l0_0340.h5,,,
synthetic_l0_0118.h5,train,synthetic_l0_0118.h5,,,
synthetic_l0_0458.h5,train,synthetic_l0_0458.h5,,,
synthetic_l0_0126.h5,train,synthetic_l0_0126.h5,,,
synthetic_l0_0309.h5,train,synthetic_l0_0309.h5,,,
synthetic_l0_0047.h5,train,synthetic_l0_0047.h5,,,
synthetic_l0_0355.h5,train,synthetic_l0_0355.h5,,,
synthetic_l0_0202.h5,train,synthetic_l0_0202.h5,,,
synthetic_l0_0127.h5,train,synthetic_l0_0127.h5,,,
synthetic_l0_0367.h5,train,synthetic_l0_0367.h5,,,
synthetic_l0_0147.h5,train,synthetic_l0_0147.h5,,,
synthetic_l0_0237.h5,train,synthetic_l0_0237.h5,,,
synthetic_l0_0239.h5,train,synthetic_l0_0239.h5,,,
synthetic_l0_0026.h5,train,synthetic_l0_0026.h5,,,
synthetic_l0_0385.h5,train,synthetic_l0_0385.h5,,,
synthetic_l0_0062.h5,train,synthetic_l0_0062.h5,,,
synthetic_l0_0417.h5,train,synthetic_l0_0417.h5,,,
synthetic_l0_0494.h5,train,synthetic_l0_0494.h5,,,
synthetic_l0_0394.h5,train,synthetic_l0_0394.h5,,,
synthetic_l0_0485.h5,train,synthetic_l0_0485.h5,,,
synthetic_l0_0346.h5,train,synthetic_l0_0346.h5,,,
synthetic_l0_0173.h5,train,synthetic_l0_0173.h5,,,
synthetic_l0_0486.h5,train,synthetic_l0_0486.h5,,,
synthetic_l0_0302.h5,train,synthetic_l0_0302.h5,,,
synthetic_l0_0322.h5,train,synthetic_l0_0322.h5,,,
synthetic_l0_0144.h5,train,synthetic_l0_0144.h5,,,
synthetic_l0_0245.h5,train,synthetic_l0_0245.h5,,,
synthetic_l0_0295.h5,train,synthetic_l0_0295.h5,,,
synthetic_l0_0038.h5,train,synthetic_l0_0038.h5,,,
synthetic_l0_0413.h5,train,synthetic_l0_0413.h5,,,
synthetic_l0_0028.h5,train,synthetic_l0_0028.h5,,,
synthetic_l0_0213.h5,train,synthetic_l0_0213.h5,,,
synthetic_l0_0089.h5,train,synthetic_l0_0089.h5,,,
synthetic_l0_0451.h5,train,synthetic_l0_0451.h5,,,
synthetic_l0_0098.h5,train,synthetic_l0_0098.h5,,,
synthetic_l0_0119.h5,train,synthetic_l0_0119.h5,,,
synthetic_l0_0149.h5,train,synthetic_l0_0149.h5,,,
synthetic_l0_0257.h5,train,synthetic_l0_0257.h5,,,
synthetic_l0_0198.h5,train,synthetic_l0_0198.h5,,,
synthetic_l0_0383.h5,train,synthetic_l0_0383.h5,,,
synthetic_l0_0318.h5,train,synthetic_l0_0318.h5,,,
synthetic_l0_0134.h5,train,synthetic_l0_0134.h5,,,
synthetic_l0_0259.h5,train,synthetic_l0_0259.h5,,,
synthetic_l0_0011.h5,train,synthetic_l0_0011.h5,,,
synthetic_l0_0267.h5,train,synthetic_l0_0267.h5,,,
synthetic_l0_0067.h5,train,synthetic_l0_0067.h5,,,
synthetic_l0_0241.h5,train,synthetic_l0_0241.h5,,,
synthetic_l0_0108.h5,train,synthetic_l0_0108.h5,,,
synthetic_l0_0084.h5,train,synthetic_l0_0084.h5,,,
synthetic_l0_0371.h5,train,synthetic_l0_0371.h5,,,
synthetic_l0_0244.h5,train,synthetic_l0_0244.h5,,,
synthetic_l0_0232.h5,train,synthetic_l0_0232.h5,,,
synthetic_l0_0203.h5,train,synthetic_l0_0203.h5,,,
synthetic_l0_0409.h5,train,synthetic_l0_0409.h5,,,
synthetic_l0_0006.h5,train,synthetic_l0_0006.h5,,,
synthetic_l0_0432.h5,train,synthetic_l0_0432.h5,,,
synthetic_l0_0487.h5,train,synthetic_l0_0487.h5,,,
synthetic_l0_0274.h5,train,synthetic_l0_0274.h5,,,
synthetic_l0_0024.h5,train,synthetic_l0_0024.h5,,,
synthetic_l0_0092.h5,train,synthetic_l0_0092.h5,,,
synthetic_l0_0236.h5,train,synthetic_l0_0236.h5,,,
synthetic_l0_0401.h5,train,synthetic_l0_0401.h5,,,
synthetic_l0_0182.h5,train,synthetic_l0_0182.h5,,,
synthetic_l0_0075.h5,train,synthetic_l0_0075.h5,,,
synthetic_l0_0253.h5,train,synthetic_l0_0253.h5,,,
synthetic_l0_0374.h5,train,synthetic_l0_0374.h5,,,
synthetic_l0_0166.h5,train,synthetic_l0_0166.h5,,,
synthetic_l0_0358.h5,train,synthetic_l0_0358.h5,,,
synthetic_l0_0456.h5,train,synthetic_l0_0456.h5,,,
synthetic_l0_0150.h5,train,synthetic_l0_0150.h5,,,
synthetic_l0_0070.h5,train,synthetic_l0_0070.h5,,,
synthetic_l0_0258.h5,train,synthetic_l0_0258.h5,,,
synthetic_l0_0386.h5,train,synthetic_l0_0386.h5,,,
synthetic_l0_0392.h5,train,synthetic_l0_0392.h5,,,
synthetic_l0_0054.h5,train,synthetic_l0_0054.h5,,,
synthetic_l0_0294.h5,train,synthetic_l0_0294.h5,,,
synthetic_l0_0170.h5,train,synthetic_l0_0170.h5,,,
synthetic_l0_0307.h5,train,synthetic_l0_0307.h5,,,
synthetic_l0_0218.h5,train,synthetic_l0_0218.h5,,,
synthetic_l0_0443.h5,train,synthetic_l0_0443.h5,,,
synthetic_l0_0449.h5,train,synthetic_l0_0449.h5,,,
synthetic_l0_0159.h5,train,synthetic_l0_0159.h5,,,
synthetic_l0_0499.h5,train,synthetic_l0_0499.h5,,,
synthetic_l0_0095.h5,train,synthetic_l0_0095.h5,,,
synthetic_l0_0477.h5,train,synthetic_l0_0477.h5,,,
synthetic_l0_0373.h5,train,synthetic_l0_0373.h5,,,
synthetic_l0_0187.h5,train,synthetic_l0_0187.h5,,,
synthetic_l0_0266.h5,train,synthetic_l0_0266.h5,,,
synthetic_l0_0260.h5,train,synthetic_l0_0260.h5,,,
synthetic_l0_0471.h5,train,synthetic_l0_0471.h5,,,
synthetic_l0_0334.h5,train,synthetic_l0_0334.h5,,,
synthetic_l0_0442.h5,train,synthetic_l0_0442.h5,,,
synthetic_l0_0308.h5,train,synthetic_l0_0308.h5,,,
synthetic_l0_0088.h5,train,synthetic_l0_0088.h5,,,
synthetic_l0_0378.h5,train,synthetic_l0_0378.h5,,,
synthetic_l0_0469.h5,train,synthetic_l0_0469.h5,,,
synthetic_l0_0251.h5,train,synthetic_l0_0251.h5,,,
synthetic_l0_0217.h5,train,synthetic_l0_0217.h5,,,
synthetic_l0_0037.h5,train,synthetic_l0_0037.h5,,,
synthetic_l0_0391.h5,train,synthetic_l0_0391.h5,,,
synthetic_l0_0273.h5,train,synthetic_l0_0273.h5,,,
synthetic_l0_0365.h5,train,synthetic_l0_0365.h5,,,
synthetic_l0_0279.h5,train,synthetic_l0_0279.h5,,,
synthetic_l0_0162.h5,train,synthetic_l0_0162.h5,,,
synthetic_l0_0219.h5,train,synthetic_l0_0219.h5,,,
synthetic_l0_0209.h5,train,synthetic_l0_0209.h5,,,
synthetic_l0_0329.h5,train,synthetic_l0_0329.h5,,,
synthetic_l0_0174.h5,train,synthetic_l0_0174.h5,,,
synthetic_l0_0112.h5,train,synthetic_l0_0112.h5,,,
synthetic_l0_0017.h5,train,synthetic_l0_0017.h5,,,
synthetic_l0_0154.h5,train,synthetic_l0_0154.h5,,,
synthetic_l0_0010.h5,train,synthetic_l0_0010.h5,,,
synthetic_l0_0420.h5,train,synthetic_l0_0420.h5,,,
synthetic_l0_0207.h5,train,synthetic_l0_0207.h5,,,
synthetic_l0_0333.h5,train,synthetic_l0_0333.h5,,,
synthetic_l0_0430.h5,train,synthetic_l0_0430.h5,,,
synthetic_l0_0066.h5,train,synthetic_l0_0066.h5,,,
synthetic_l0_0008.h5,train,synthetic_l0_0008.h5,,,
synthetic_l0_0399.h5,train,synthetic_l0_0399.h5,,,
synthetic_l0_0059.h5,train,synthetic_l0_0059.h5,,,
synthetic_l0_0422.h5,train,synthetic_l0_0422.h5,,,
synthetic_l0_0428.h5,train,synthetic_l0_0428.h5,,,
synthetic_l0_0003.h5,train,synthetic_l0_0003.h5,,,
synthetic_l0_0094.h5,train,synthetic_l0_0094.h5,,,
synthetic_l0_0048.h5,train,synthetic_l0_0048.h5,,,
synthetic_l0_0326.h5,train,synthetic_l0_0326.h5,,,
synthetic_l0_0093.h5,train,synthetic_l0_0093.h5,,,
synthetic_l0_0331.h5,train,synthetic_l0_0331.h5,,,
synthetic_l0_0254.h5,train,synthetic_l0_0254.h5,,,
synthetic_l0_0347.h5,train,synthetic_l0_0347.h5,,,
synthetic_l0_0031.h5,train,synthetic_l0_0031.h5,,,
synthetic_l0_0156.h5,train,synthetic_l0_0156.h5,,,
synthetic_l0_0128.h5,train,synthetic_l0_0128.h5,,,
synthetic_l0_0121.h5,train,synthetic_l0_0121.h5,,,
synthetic_l0_0230.h5,train,synthetic_l0_0230.h5,,,
synthetic_l0_0130.h5,train,synthetic_l0_0130.h5,,,
synthetic_l0_0081.h5,train,synthetic_l0_0081.h5,,,
synthetic_l0_0311.h5,train,synthetic_l0_0311.h5,,,
synthetic_l0_0314.h5,train,synthetic_l0_0314.h5,,,
synthetic_l0_0052.h5,train,synthetic_l0_0052.h5,,,
synthetic_l0_0415.h5,train,synthetic_l0_0415.h5,,,
synthetic_l0_0345.h5,train,synthetic_l0_0345.h5,,,
synthetic_l0_0027.h5,train,synthetic_l0_0027.h5,,,
synthetic_l0_0440.h5,val,synthetic_l0_0440.h5,,,
synthetic_l0_0212.h5,val,synthetic_l0_0212.h5,,,
synthetic_l0_0106.h5,val,synthetic_l0_0106.h5,,,
synthetic_l0_0425.h5,val,synthetic_l0_0425.h5,,,
synthetic_l0_0491.h5,val,synthetic_l0_0491.h5,,,
synthetic_l0_0020.h5,val,synthetic_l0_0020.h5,,,
synthetic_l0_0221.h5,val,synthetic_l0_0221.h5,,,
synthetic_l0_0438.h5,val,synthetic_l0_0438.h5,,,
synthetic_l0_0269.h5,val,synthetic_l0_0269.h5,,,
synthetic_l0_0350.h5,val,synthetic_l0_0350.h5,,,
synthetic_l0_0457.h5,val,synthetic_l0_0457.h5,,,
synthetic_l0_0362.h5,val,synthetic_l0_0362.h5,,,
synthetic_l0_0039.h5,val,synthetic_l0_0039.h5,,,
synthetic_l0_0384.h5,val,synthetic_l0_0384.h5,,,
synthetic_l0_0190.h5,val,synthetic_l0_0190.h5,,,
synthetic_l0_0012.h5,val,synthetic_l0_0012.h5,,,
synthetic_l0_0191.h5,val,synthetic_l0_0191.h5,,,
synthetic_l0_0380.h5,val,synthetic_l0_0380.h5,,,
synthetic_l0_0393.h5,val,synthetic_l0_0393.h5,,,
synthetic_l0_0223.h5,val,synthetic_l0_0223.h5,,,
synthetic_l0_0004.h5,val,synthetic_l0_0004.h5,,,
synthetic_l0_0085.h5,val,synthetic_l0_0085.h5,,,
synthetic_l0_0490.h5,val,synthetic_l0_0490.h5,,,
synthetic_l0_0397.h5,val,synthetic_l0_0397.h5,,,
synthetic_l0_0489.h5,val,synthetic_l0_0489.h5,,,
synthetic_l0_0335.h5,val,synthetic_l0_0335.h5,,,
synthetic_l0_0281.h5,val,synthetic_l0_0281.h5,,,
synthetic_l0_0363.h5,val,synthetic_l0_0363.h5,,,
synthetic_l0_0078.h5,val,synthetic_l0_0078.h5,,,
synthetic_l0_0461.h5,val,synthetic_l0_0461.h5,,,
synthetic_l0_0379.h5,val,synthetic_l0_0379.h5,,,
synthetic_l0_0481.h5,val,synthetic_l0_0481.h5,,,
synthetic_l0_0114.h5,val,synthetic_l0_0114.h5,,,
synthetic_l0_0171.h5,val,synthetic_l0_0171.h5,,,
synthetic_l0_0342.h5,val,synthetic_l0_0342.h5,,,
synthetic_l0_0123.h5,val,synthetic_l0_0123.h5,,,
synthetic_l0_0304.h5,val,synthetic_l0_0304.h5,,,
synthetic_l0_0103.h5,val,synthetic_l0_0103.h5,,,
synthetic_l0_0090.h5,val,synthetic_l0_0090.h5,,,
synthetic_l0_0201.h5,val,synthetic_l0_0201.h5,,,
synthetic_l0_0277.h5,val,synthetic_l0_0277.h5,,,
synthetic_l0_0421.h5,val,synthetic_l0_0421.h5,,,
synthetic_l0_0208.h5,val,synthetic_l0_0208.h5,,,
synthetic_l0_0087.h5,val,synthetic_l0_0087.h5,,,
synthetic_l0_0224.h5,val,synthetic_l0_0224.h5,,,
synthetic_l0_0143.h5,val,synthetic_l0_0143.h5,,,
synthetic_l0_0111.h5,val,synthetic_l0_0111.h5,,,
synthetic_l0_0332.h5,val,synthetic_l0_0332.h5,,,
synthetic_l0_0407.h5,val,synthetic_l0_0407.h5,,,
synthetic_l0_0280.h5,val,synthetic_l0_0280.h5,,,
synthetic_l0_0352.h5,val,synthetic_l0_0352.h5,,,
synthetic_l0_0459.h5,val,synthetic_l0_0459.h5,,,
synthetic_l0_0189.h5,val,synthetic_l0_0189.h5,,,
synthetic_l0_0065.h5,val,synthetic_l0_0065.h5,,,
synthetic_l0_0473.h5,val,synthetic_l0_0473.h5,,,
synthetic_l0_0099.h5,val,synthetic_l0_0099.h5,,,
synthetic_l0_0071.h5,val,synthetic_l0_0071.h5,,,
synthetic_l0_0448.h5,val,synthetic_l0_0448.h5,,,
synthetic_l0_0069.h5,val,synthetic_l0_0069.h5,,,
synthetic_l0_0411.h5,val,synthetic_l0_0411.h5,,,
synthetic_l0_0125.h5,val,synthetic_l0_0125.h5,,,
synthetic_l0_0178.h5,val,synthetic_l0_0178.h5,,,
synthetic_l0_0227.h5,val,synthetic_l0_0227.h5,,,
synthetic_l0_0482.h5,val,synthetic_l0_0482.h5,,,
synthetic_l0_0117.h5,val,synthetic_l0_0117.h5,,,
synthetic_l0_0074.h5,val,synthetic_l0_0074.h5,,,
synthetic_l0_0376.h5,val,synthetic_l0_0376.h5,,,
synthetic_l0_0009.h5,val,synthetic_l0_0009.h5,,,
synthetic_l0_0116.h5,val,synthetic_l0_0116.h5,,,
synthetic_l0_0429.h5,val,synthetic_l0_0429.h5,,,
synthetic_l0_0158.h5,val,synthetic_l0_0158.h5,,,
synthetic_l0_0063.h5,val,synthetic_l0_0063.h5,,,
synthetic_l0_0226.h5,val,synthetic_l0_0226.h5,,,
synthetic_l0_0000.h5,val,synthetic_l0_0000.h5,,,
synthetic_l0_0042.h5,test,synthetic_l0_0042.h5,,,
synthetic_l0_0122.h5,test,synthetic_l0_0122.h5,,,
synthetic_l0_0016.h5,test,synthetic_l0_0016.h5,,,
