file,flag,reasons,freq,pol,n_pulses,n_range,eigen_contrast_max_db,eigen_contrast_mean_db,f_factor_max,pulse_energy_mad,zero_frac
synthetic_l0_0063.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.69,0.52,4.46,0.0
synthetic_l0_0064.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.71,0.341,3.73,0.0
synthetic_l0_0065.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.7,0.38,4.51,0.0
synthetic_l0_0066.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.72,0.339,4.25,0.0
synthetic_l0_0067.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.72,0.072,4.67,0.0
synthetic_l0_0068.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.68,0.784,3.67,0.0
synthetic_l0_0069.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.27,3.79,1.34,3.16,0.0
synthetic_l0_0070.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.81,0.743,5.34,0.0
synthetic_l0_0071.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.72,0.214,3.16,0.0
synthetic_l0_0072.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.83,0.208,3.91,0.0
synthetic_l0_0073.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.69,0.989,3.47,0.0
synthetic_l0_0074.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.76,0.382,4.26,0.0
synthetic_l0_0075.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.73,0.526,3.7,0.0
synthetic_l0_0076.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.73,0.399,4.51,0.0
synthetic_l0_0077.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.74,0.489,4.03,0.0
synthetic_l0_0078.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.77,0.64,3.52,0.0
synthetic_l0_0079.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.69,0.393,3.68,0.0
synthetic_l0_0080.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.76,0.687,4.81,0.0
synthetic_l0_0081.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.23,3.89,1.861,3.82,0.0
synthetic_l0_0082.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.72,0.453,3.83,0.0
synthetic_l0_0083.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.82,0.64,3.2,0.0
synthetic_l0_0084.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.73,0.549,2.94,0.0
synthetic_l0_0085.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.69,0.606,4.52,0.0
synthetic_l0_0086.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.67,0.336,3.9,0.0
synthetic_l0_0087.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.18,3.7,0.321,3.66,0.0
synthetic_l0_0088.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.83,0.531,3.64,0.0
synthetic_l0_0089.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.73,0.638,2.64,0.0
synthetic_l0_0090.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.66,0.861,3.69,0.0
synthetic_l0_0091.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.79,0.836,3.68,0.0
synthetic_l0_0092.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.73,1.311,3.61,0.0
synthetic_l0_0093.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.18,3.71,0.457,3.07,0.0
synthetic_l0_0094.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.73,0.34,5.43,0.0
synthetic_l0_0095.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.69,0.296,4.3,0.0
synthetic_l0_0096.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.77,0.248,3.93,0.0
synthetic_l0_0097.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.73,0.33,3.71,0.0
synthetic_l0_0098.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.72,0.71,4.8,0.0
synthetic_l0_0099.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.74,0.658,3.33,0.0
synthetic_l0_0100.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.72,0.42,4.01,0.0
synthetic_l0_0101.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.69,0.972,4.99,0.0
synthetic_l0_0102.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.72,1.237,3.04,0.0
synthetic_l0_0103.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.7,0.65,3.63,0.0
synthetic_l0_0104.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.78,0.702,3.43,0.0
synthetic_l0_0105.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.81,0.434,3.64,0.0
synthetic_l0_0106.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.76,1.393,4.51,0.0
synthetic_l0_0107.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.75,0.418,3.37,0.0
synthetic_l0_0108.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.25,3.75,0.82,4.07,0.0
synthetic_l0_0109.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.73,0.453,5.9,0.0
synthetic_l0_0110.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.79,0.46,3.77,0.0
synthetic_l0_0111.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.67,1.087,5.23,0.0
synthetic_l0_0112.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.34,3.81,0.758,3.73,0.0
synthetic_l0_0113.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.69,0.27,5.38,0.0
synthetic_l0_0114.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.74,0.611,3.43,0.0
synthetic_l0_0115.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.68,0.43,3.11,0.0
synthetic_l0_0116.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.66,0.444,3.43,0.0
synthetic_l0_0117.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.24,3.74,1.146,3.99,0.0
synthetic_l0_0118.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.71,0.687,4.99,0.0
synthetic_l0_0119.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.74,0.487,4.38,0.0
synthetic_l0_0120.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.71,0.345,3.87,0.0
synthetic_l0_0121.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.73,1.323,4.3,0.0
synthetic_l0_0122.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.67,0.779,3.74,0.0
synthetic_l0_0123.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.63,0.811,3.6,0.0
synthetic_l0_0124.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.67,1.101,4.51,0.0
synthetic_l0_0125.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.74,0.868,3.35,0.0
synthetic_l0_0126.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.72,0.648,4.03,0.0
synthetic_l0_0127.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.66,0.716,4.69,0.0
synthetic_l0_0128.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.72,0.556,3.58,0.0
synthetic_l0_0129.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.85,3.61,0.287,3.62,0.0
synthetic_l0_0130.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.73,0.535,4.33,0.0
synthetic_l0_0131.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.67,0.601,4.72,0.0
synthetic_l0_0132.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.64,0.701,4.22,0.0
synthetic_l0_0133.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.3,3.82,1.163,3.75,0.0
synthetic_l0_0134.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.76,0.666,3.0,0.0
synthetic_l0_0135.h5,REVIEW,pulse energy MAD 8.3 (>= 6.0),frequencyA,HH,3200,256,4.2,3.69,0.181,8.26,0.0
synthetic_l0_0136.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.72,0.814,3.4,0.0
synthetic_l0_0137.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.76,0.701,3.92,0.0
synthetic_l0_0138.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.75,0.525,3.72,0.0
synthetic_l0_0139.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.77,0.801,4.08,0.0
synthetic_l0_0140.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.73,0.662,4.18,0.0
synthetic_l0_0141.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.248,4.67,0.0
synthetic_l0_0142.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.66,0.311,4.51,0.0
synthetic_l0_0143.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.66,0.385,3.44,0.0
synthetic_l0_0144.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.78,3.62,0.354,5.23,0.0
synthetic_l0_0145.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.75,0.939,3.97,0.0
synthetic_l0_0146.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.66,0.755,5.42,0.0
synthetic_l0_0147.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.76,0.352,2.89,0.0
synthetic_l0_0148.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.78,0.592,3.7,0.0
synthetic_l0_0149.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.78,0.731,3.68,0.0
synthetic_l0_0150.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.75,0.389,5.91,0.0
synthetic_l0_0151.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.7,0.242,3.13,0.0
synthetic_l0_0152.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.76,0.458,3.76,0.0
synthetic_l0_0153.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.78,0.506,5.85,0.0
synthetic_l0_0154.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.36,3.82,0.731,3.91,0.0
synthetic_l0_0155.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.18,3.71,0.455,3.12,0.0
synthetic_l0_0156.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.7,0.565,3.37,0.0
synthetic_l0_0157.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.67,0.348,4.24,0.0
synthetic_l0_0158.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.71,0.435,3.58,0.0
synthetic_l0_0159.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.14,3.74,0.574,2.95,0.0
synthetic_l0_0160.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.81,0.27,4.34,0.0
synthetic_l0_0161.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.42,3.73,0.465,3.89,0.0
synthetic_l0_0162.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.75,0.188,3.76,0.0
synthetic_l0_0163.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.78,0.51,2.81,0.0
synthetic_l0_0164.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.67,0.351,3.93,0.0
synthetic_l0_0165.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.76,0.709,3.83,0.0
synthetic_l0_0166.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.86,3.73,0.875,3.34,0.0
synthetic_l0_0167.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.21,3.72,0.173,3.51,0.0
synthetic_l0_0168.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.75,0.488,3.53,0.0
synthetic_l0_0169.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.38,3.8,0.576,4.43,0.0
synthetic_l0_0170.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.73,1.029,3.35,0.0
synthetic_l0_0171.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.71,0.514,3.8,0.0
synthetic_l0_0172.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.67,0.832,4.35,0.0
synthetic_l0_0173.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.74,0.647,3.63,0.0
synthetic_l0_0174.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.7,0.669,4.52,0.0
synthetic_l0_0175.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.47,3.72,1.074,4.35,0.0
synthetic_l0_0176.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.75,0.35,4.3,0.0
synthetic_l0_0177.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.73,0.704,3.53,0.0
synthetic_l0_0178.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.71,0.407,3.82,0.0
synthetic_l0_0179.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.75,0.758,3.57,0.0
synthetic_l0_0180.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.72,0.231,3.4,0.0
synthetic_l0_0181.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.7,0.61,3.87,0.0
synthetic_l0_0182.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.76,0.41,2.56,0.0
synthetic_l0_0183.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.93,3.77,0.328,3.59,0.0
synthetic_l0_0184.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.76,0.386,3.98,0.0
synthetic_l0_0185.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.63,0.641,3.87,0.0
synthetic_l0_0186.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.64,0.25,4.79,0.0
synthetic_l0_0187.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.64,1.287,3.81,0.0
synthetic_l0_0188.h5,REVIEW,pulse energy MAD 6.1 (>= 6.0),frequencyA,HH,3200,256,3.96,3.6,0.384,6.11,0.0
synthetic_l0_0189.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.67,0.396,3.96,0.0
synthetic_l0_0190.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.7,1.257,4.45,0.0
synthetic_l0_0191.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.65,0.573,4.84,0.0
synthetic_l0_0192.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.69,0.308,5.44,0.0
synthetic_l0_0193.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.71,0.891,3.79,0.0
synthetic_l0_0194.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.76,0.254,4.45,0.0
synthetic_l0_0195.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.68,0.636,4.42,0.0
synthetic_l0_0196.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.68,0.345,2.68,0.0
synthetic_l0_0197.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.76,0.244,4.57,0.0
synthetic_l0_0198.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.74,0.286,3.66,0.0
synthetic_l0_0199.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.71,0.329,3.7,0.0
synthetic_l0_0200.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.73,0.191,4.44,0.0
synthetic_l0_0201.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.72,0.857,4.61,0.0
synthetic_l0_0202.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.73,0.32,3.37,0.0
synthetic_l0_0203.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.82,3.68,0.457,3.5,0.0
synthetic_l0_0204.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.7,0.326,4.86,0.0
synthetic_l0_0205.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.79,3.64,0.612,2.73,0.0
synthetic_l0_0206.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.67,0.686,3.37,0.0
synthetic_l0_0207.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.83,0.415,3.29,0.0
synthetic_l0_0208.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.18,3.76,0.56,3.21,0.0
synthetic_l0_0209.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.69,1.042,3.59,0.0
synthetic_l0_0210.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.7,0.452,4.02,0.0
synthetic_l0_0211.h5,REVIEW,pulse energy MAD 7.1 (>= 6.0),frequencyA,HH,3200,256,3.91,3.67,0.633,7.12,0.0
synthetic_l0_0212.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.68,1.165,3.94,0.0
synthetic_l0_0213.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.71,0.502,3.7,0.0
synthetic_l0_0214.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.64,0.809,3.33,0.0
synthetic_l0_0215.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.77,0.288,3.36,0.0
synthetic_l0_0216.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.71,0.745,3.56,0.0
synthetic_l0_0217.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.68,0.545,4.57,0.0
synthetic_l0_0218.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.68,0.395,3.33,0.0
synthetic_l0_0219.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.26,3.75,0.52,3.4,0.0
synthetic_l0_0220.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.66,0.434,3.69,0.0
synthetic_l0_0221.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.66,0.286,3.61,0.0
synthetic_l0_0222.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.7,0.413,4.17,0.0
synthetic_l0_0223.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.74,0.52,2.96,0.0
synthetic_l0_0224.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.76,0.434,3.59,0.0
